dr7objid,asset_id,t01_smooth_or_features_a01_smooth_debiased,t01_smooth_or_features_a02_features_or_disk_debiased,t02_edgeon_a04_yes_debiased,t03_bar_a06_bar_debiased,t04_spiral_a08_spiral_debiased,t08_odd_feature_a24_merger_debiased,t08_odd_feature_a22_irregular_debiased
587722981742018657,15,0.003000000026077,0.9549999833106996,0.0,0.0,0.7333603027858939,0.0036478608296136,0.5266925625726402
587722981744050315,35,0.0,0.9810000061988832,0.0002887703753692,0.4023605401512243,0.9986952971792276,0.0,0.0455120091714158
587722981746016481,63,0.0199999995529651,0.9729999899864196,0.0,0.2163656972610672,0.9955628844013018,0.0,0.4379102503586549
587722981747654761,81,0.765999972820282,0.7570000290870667,0.1086227898501637,0.3817132623825706,0.9266217763687272,0.0,0.8899898875143087
587722981747982465,89,0.1539999991655349,0.8460000157356262,0.0036599557568879,0.8853857432148521,0.8395840692042864,0.2110871728799649,0.3405186835319308
587722981748703283,107,0.8799999952316284,0.1140000000596046,0.0,0.0,0.0,0.0,0.0
587722981748965446,120,0.9679999947547911,0.0450000017881393,0.0,0.0,0.0,0.0,0.2504252524081602
587722981750931635,144,0.4519999921321869,0.5479999780654907,0.0,0.3910000026226043,0.8259999752044678,0.0,0.5
587722981751193796,148,0.800000011920929,0.1459999978542328,0.0,0.6111885253417823,0.0,0.0688873832992357,0.0
587722981751455896,154,0.6489999890327454,0.3100000023841858,0.0,0.4460722376404339,0.9764493350079902,0.3591833418961996,0.0
587722982278299721,171,0.1459999978542328,0.8510000109672546,0.908351990955536,0.0,0.0,0.0,0.1403374414543356
587722982278758552,175,0.4869999885559082,0.4900000095367431,0.0093177897744333,0.0,0.6979042055798304,0.0,0.0
587722982280003754,191,0.8040000200271606,0.135000005364418,0.0,0.0,0.0,0.0001303205739275,0.0
587722982281904242,223,0.2639999985694885,0.8889999985694885,0.0,0.0,0.0,0.0,0.0
587722982282035411,226,0.2649999856948852,0.9179999828338624,0.4073590384463195,0.5096044399470417,0.9439684843057178,0.0,0.0
587722982284984491,288,0.090999998152256,0.824999988079071,0.0,0.947361783900754,0.9532546365127376,0.0,0.3369630834416469
587722982285508744,296,0.8100000023841858,0.0890000015497207,0.0011944671742811,0.0,0.0,0.6285876579426932,0.0
587722982285574282,300,0.0,1.0,0.0,0.4462215221958632,0.9999891504571392,0.0,0.0
587722982285574311,302,0.7870000004768372,0.3959999978542328,0.0,0.0,0.9333180704559804,0.0,0.0
587722982286819562,336,0.0810000002384185,0.9679999947547911,0.0,0.0,0.983168782022793,0.0019860177612067,0.0793173877818368
587722982287606027,342,0.3210000097751617,0.8090000152587891,1.0,0.0,0.0,0.0,0.0
587722982289768697,366,0.2430000007152557,0.9210000038146972,0.0,0.4954968865272163,0.9840421903778552,0.0,0.3023811308360336
587722982291603595,401,0.8889999985694885,0.0430000014603138,0.0,0.0,0.0,0.0510094625875692,0.4603314195975516
587722982291865751,407,0.0219999998807907,0.9980000257492064,0.0019476630230617,0.3943264096644421,0.9760361984386454,0.1272112397552505,0.1015836494376497
587722982292783382,426,0.7580000162124634,0.8489999771118164,0.0,0.0,0.0,0.0,0.0796054132992252
587722982293700737,440,0.8100000023841858,0.1309999972581863,0.0434340586956187,0.0,0.999279228689134,0.0,0.0
587722982293897555,445,0.8560000061988831,0.270000010728836,0.0,0.6116774238122029,0.0,0.3370251084830617,0.0
587722982296912216,471,0.025000000372529,0.9729999899864196,1.0,0.0,0.0,0.0,0.3366870107328651
587722982297501928,475,0.1759999990463256,0.0879999995231628,0.0,0.0,0.0,0.0,0.0
587722982297698635,480,0.0049999998882412,0.9929999709129332,0.0240565319882488,0.0315580966707703,1.0,0.1693924969720374,0.3098414367841502
587722982298288470,489,0.8199999928474426,0.1899999976158142,0.0,0.0,0.0,0.0,0.0
587722982298550808,508,0.4410000145435333,0.4210000038146972,0.0,0.0,0.995739945186666,0.0,0.0
587722982299271230,521,0.8500000238418579,0.1330000013113021,0.0,0.0,0.0,0.0,0.0
587722982299467988,528,0.0130000002682209,0.9179999828338624,0.0,0.0,0.0,0.0203877669232195,0.0170155154770915
587722982809468993,557,0.0,0.9990000128746032,0.5798924217462138,0.5361177421942183,0.9311124355249812,0.0006265315149333,0.0
587722982816612434,586,0.8679999709129333,0.0610000006854534,0.0,0.0,0.0,0.0,0.0
587722982816809128,590,0.0890000015497207,0.977999985218048,0.2041094129572639,0.2416007214936562,0.0,0.1722554686054412,0.0855728259144887
587722982816940176,592,0.2029999941587448,0.8510000109672546,0.0,0.7423851048330578,0.8126757559989504,0.0,0.0
587722982819102945,633,0.8479999899864197,0.6589999794960022,0.1153201863072612,0.7495335526204271,0.9605528271803928,0.0,0.1095942217229609
587722982819365056,641,0.8410000205039978,0.0740000009536743,0.0,0.0,0.0,0.0,0.2227997918815817
587722982819561707,643,0.0,1.0,0.0003489315124889,0.5542972312983178,1.0,0.0237004818616584,0.2897038542649024
587722982821658772,665,0.0260000005364418,0.9459999799728394,0.3678212296320805,0.0,0.9167454597186896,0.0,0.0
587722982822445285,678,0.0289999991655349,0.9649999737739564,1.0,0.0,0.0,0.0,0.0
587722982824607918,712,0.8939999938011169,0.1330000013113021,0.4597533244169576,0.0,0.0,0.0,0.0
587722982824870112,718,0.0930000022053718,0.9660000205039978,0.0,0.0,0.916276925799975,0.0,0.0
587722982825263258,728,0.0419999994337558,0.949999988079071,0.0369399937842368,0.1043804200685751,0.9816650249421968,0.0,0.370902774969849
587722982827622508,751,0.8759999871253967,0.0879999995231628,0.0,0.0,0.0,0.0,0.0
587722982828212485,763,0.8299999833106995,0.2349999994039535,0.0,0.7939870576839287,0.0,0.0720416773765311,0.0
587722982831751175,834,0.7860000133514404,0.1949999928474426,0.0,0.0,0.9984982877419314,0.0,0.252480063613821
587722982834504037,878,0.0,1.0,0.0001647170342263,0.5433494161447314,0.9999687801645164,0.0,0.2551262511852382
587722982835749172,894,0.0,1.0,6.565323041838511e-06,0.3148199634268757,1.0,0.0155429574945616,0.0797548490453961
587722982835749190,895,0.0,0.9829999804496764,0.0,0.733185638916185,0.999822690918358,0.0,0.2761984808731234
587722982836666767,912,0.2549999952316284,0.824999988079071,1.0,0.0,0.0,0.0,0.0
587722982837059869,934,0.0280000008642673,0.975000023841858,0.0718052894509614,0.9780181475396674,0.1827862345088969,0.0,0.3118310968132769
587722983353811110,973,0.9020000100135804,0.1209999993443489,0.0,0.0,0.0,0.0,0.0
587722983353876649,975,0.0219999998807907,0.959999978542328,0.0,0.9519359310304664,0.9799329781726666,0.0,0.0108162435628023
587722983355514897,1001,0.0230000000447034,0.9739999771118164,1.0,0.0,0.0,0.0,0.0
587722983357939897,1033,0.7789999842643738,0.4149999916553497,0.0404589205368038,0.0,0.0,0.0,1.0
587722983360364722,1071,0.2540000081062317,0.7070000171661377,0.1343197144003205,0.0,0.7928996106508183,0.0,0.4673804218086774
587722983361413323,1082,0.3420000076293945,0.6320000290870667,0.0,0.8799999952316284,0.2919999957084656,0.0,0.3680000007152557
587722983362134277,1092,0.800000011920929,0.1519999951124191,0.0,0.7890235772415664,0.9950953164552784,0.0,0.0
587722983362199556,1098,0.0,1.0,0.0009089899731051,0.9677545162231918,0.9988403217316002,0.0,0.0235268114031582
587722983363117269,1108,0.8610000014305115,0.0610000006854534,0.0,0.0,0.0,0.0,0.0
587722983363707039,1116,0.3700000047683716,0.671999990940094,1.0,0.0,0.0,0.0,0.0
587722983364886739,1131,0.31700000166893,0.6050000190734863,0.0438991420386076,0.3445540909966741,0.6959963542345781,0.1892102625163182,0.0925600004806087
587722983365869690,1148,0.7549999952316284,0.1770000010728836,0.0,0.0,0.0,0.0,0.2040910398452073
587722983366328513,1176,0.4860000014305115,0.5699999928474426,0.0,0.0,0.0,0.0,0.0
587722983366721774,1184,0.2119999974966049,0.8560000061988831,1.0,0.0,0.0,0.0,0.0
587722983369605458,1222,0.025000000372529,0.977999985218048,0.0022121922361661,0.7969593399991572,0.7648659023999667,0.0926599883827203,0.3657772910974635
587722983369670928,1225,0.8820000290870667,0.0829999968409538,0.0,0.0,0.0,0.0,0.3806817715579796
587722983373930600,1318,0.7929999828338623,0.2730000019073486,0.1052749761674718,0.4349859058923853,0.0,0.1512998492035889,0.4509796860174938
587722983883800606,1332,0.8180000185966492,0.1199999973177909,0.0,0.0,0.0,0.1669999957084655,0.1669999957084655
587722983889698846,1346,0.0,0.9940000176429749,0.0,0.8852530015670766,0.9999999938900856,0.0,0.0
587722983892582590,1400,0.2269999980926513,0.6449999809265137,0.0,0.0,0.9988951511767226,0.0,0.2207049747198133
587722983892648030,1404,0.0560000017285347,0.9459999799728394,0.6022142382780273,0.7142361654746153,0.9805670456389074,0.0,0.0
587722983892910212,1415,0.8460000157356262,0.125,0.0,0.0,0.9975673867399928,0.0,0.0
587722983894483090,1442,0.0560000017285347,0.944000005722046,0.0094034522164723,0.2618800344881274,0.0,0.0641672738075232,0.0760997999033882
587722983895138532,1448,0.0260000005364418,0.1940000057220459,0.0,0.0,0.949395155248022,0.2824502163665543,0.0
587722983895793817,1456,0.7519999742507935,0.2349999994039535,0.7156096358708106,0.0,0.0,0.0,0.0
587722983897628921,1488,0.5,0.0430000014603138,0.0,1.0,1.0,0.0,0.0
587722983898677541,1504,0.0230000000447034,1.0,0.0146262063543394,0.2134654935105517,0.9989578183408948,0.0,0.0
587722983898874023,1508,0.0509999990463256,0.9580000042915344,0.8370965664064121,0.3709393548936935,0.8070876012758645,0.0,0.0
587722983899005139,1512,0.0130000002682209,0.9760000109672546,0.0,0.1635092976098335,0.999752448631597,0.0,0.3030711403097865
587722983899726038,1518,0.2840000092983246,0.7099999785423279,0.9550072455324966,0.0,1.0,0.0,0.0
587722983899922563,1522,0.7799999713897705,0.2189999967813491,0.1110000014305114,0.0,0.0,0.0,0.0
